Skill Names,Mapped Skill Name
Balance 2 - Fwd 2-ft to 1-ft glide R,Balance 2 - Fwd 2-ft to 1-ft glide
Balance 2 - Fwd 2-ft to 1-ft glide L,Balance 2 - Fwd 2-ft to 1-ft glide
Balance 2 - Fwd push/glide sequence,Balance 2 - Fwd push/glide sequence
Balance 2 - Fwd 1-ft glide with speed R,Balance 2 - Fwd 1-ft glide with speed
Balance 2 - Fwd 1-ft glide with speed L,Balance 2 - Fwd 1-ft glide with speed
"Balance 3 - Fwd stationary blade push (T, V or L) R","Balance 3 - Fwd stationary blade push (T, V or L)"
"Balance 3 - Fwd stationary blade push (T, V or L) L","Balance 3 - Fwd stationary blade push (T, V or L)"
Balance 3 - Fwd 2-ft slalom,Balance 3 - Fwd 2-ft slalom
Balance 3 - Fwd circle thrusts CW,Balance 3 - Fwd circle thrusts
Balance 3 - Fwd circle thrusts CWW,Balance 3 - Fwd circle thrusts
Balance 3 - Walking crosscuts R,Balance 3 - Walking crosscuts
Balance 3 - Walking crosscuts L,Balance 3 - Walking crosscuts
Balance 3 - Fwd 2-ft to 1-ft curve glide R,Balance 3 - Fwd 2-ft to 1-ft curve glide
Balance 3 - Fwd 2-ft to 1-ft curve glide L,Balance 3 - Fwd 2-ft to 1-ft curve glide
Balance 4 - Fwd crosscuts CW,Balance 4 - Fwd crosscuts
Balance 4 - Fwd crosscuts CWW,Balance 4 - Fwd crosscuts
Balance 4 - FI slalom,Balance 4 - FI slalom
Balance 4 - FO slalom,Balance 4 - FO slalom
Balance 4 - Fwd drag,Balance 4 - Fwd drag
Balance 4 - Fwd spiral,Balance 4 - Fwd spiral
Balance 4 - Drop-down drill,Balance 4 - Drop-down drill
"Balance 4 - Fwd ""V"" start","Balance 4 - Fwd ""V"" start"
Balance 5 - Fwd crosscuts - figure 8,Balance 5 - Fwd crosscuts - figure 8
Balance 5 - FI edges,Balance 5 - FI edges
Balance 5 - Fwd push/glide sequence,Balance 5 - Fwd push/glide sequence
Balance 5 - Fwd perimeter skating with jumps,Balance 5 - Fwd perimeter skating with jumps
Balance 5 - Inside spread eagle,Balance 5 - Inside spread eagle
Balance 5 - Fwd 1-ft slalom,Balance 5 - Fwd 1-ft slalom
Balance 5 - Running lateral crossovers,Balance 5 - Running lateral crossovers
Balance 6 - Fwd power crosscuts CW,Balance 6 - Fwd power crosscuts
Balance 6 - Fwd power crosscuts CWW,Balance 6 - Fwd power crosscuts
Balance 6 - Fwd perimeter skating with crosscuts CW,Balance 6 - Fwd perimeter skating with crosscuts
Balance 6 - Fwd perimeter skating with crosscuts CCW,Balance 6 - Fwd perimeter skating with crosscuts
Balance 6 - FO edges,Balance 6 - FO edges
Balance 6 - Fwd 1-ft slalom,Balance 6 - Fwd 1-ft slalom
Balance 6 - Fwd shoot the duck,Balance 6 - Fwd shoot the duck
Balance 6 - Fwd perimeter skating with side stops,Balance 6 - Fwd perimeter skating with side stops
Balance 6 - Fwd spiral on a curve,Balance 6 - Fwd spiral on a curve
"Balance 6 - Fwd ""crossover"" acceleration","Balance 6 - Fwd ""crossover"" acceleration"
Control 1 - Snow slide steps R,Control 1 - Snow slide steps
Control 1 - Snow slide steps L,Control 1 - Snow slide steps
Control 1 - Bwd 2-ft skating/walking,Control 1 - Bwd 2-ft skating/walking
Control 1 - Bwd 2-ft glide,Control 1 - Bwd 2-ft glide
Control 2 - Fwd stop,Control 2 - Fwd stop
Control 2 - Bwd 2-ft sit glide,Control 2 - Bwd 2-ft sit glide
Control 2 - Bwd 2-ft to 1-ft glide R,Control 2 - Bwd 2-ft to 1-ft glide
Control 2 - Bwd 2-ft to 1-ft glide L,Control 2 - Bwd 2-ft to 1-ft glide
Control 2 - Bwd push/glide sequence,Control 2 - Bwd push/glide sequence
Control 3 - Fwd stop with speed (2/3) R,Control 3 - Fwd stop with speed
Control 3 - Fwd stop with speed (2/3) L,Control 3 - Fwd stop with speed
Control 3 - Fwd stop with speed (2/3) 2-ft,Control 3 - Fwd stop with speed
Control 3 - Bwd 2-ft sculling,Control 3 - Bwd 2-ft sculling
Control 3 - Bwd 2-ft to 1-ft glide R,Control 3 - Bwd 2-ft to 1-ft glide
Control 3 - Bwd 2-ft to 1-ft glide L,Control 3 - Bwd 2-ft to 1-ft glide
Control 3 - Bwd push/glide sequence,Control 3 - Bwd push/glide sequence
Control 3 - Bwd 1-ft glide R,Control 3 - Bwd 1-ft glide
Control 3 - Bwd 1-ft glide L,Control 3 - Bwd 1-ft glide
Control 4 - Bwd stop,Control 4 - Bwd stop
Control 4 - Bwd circle thrusts CW,Control 4 - Bwd circle thrusts
Control 4 - Bwd circle thrusts CCW,Control 4 - Bwd circle thrusts
Control 4 - Bwd 2-ft slalom,Control 4 - Bwd 2-ft slalom
Control 4 - Bwd 1-ft glide with speed R,Control 4 - Bwd 1-ft glide with speed
Control 4 - Bwd 1-ft glide with speed L,Control 4 - Bwd 1-ft glide with speed
Control 4 - Fwd 1-ft glide from blue line to blue line R,Control 4 - Fwd 1-ft glide from blue line to blue line
Control 4 - Fwd 1-ft glide from blue line to blue line L,Control 4 - Fwd 1-ft glide from blue line to blue line
Control 4 - Speed Drill #1,Control 4 - Speed Drill #1
Control 5 - Fwd 2-ft side stop CW,Control 5 - Fwd 2-ft side stop
Control 5 - Fwd 2-ft side stop CCW,Control 5 - Fwd 2-ft side stop
Control 5 - Bwd stop with speed (2/3) R,Control 5 - Bwd stop with speed
Control 5 - Bwd stop with speed (2/3) L,Control 5 - Bwd stop with speed
Control 5 - Bwd stop with speed (2/3) 2-ft,Control 5 - Bwd stop with speed
Control 5 - Bwd crosscuts CW,Control 5 - Bwd crosscuts
Control 5 - Bwd crosscuts CCW,Control 5 - Bwd crosscuts
Control 5 - BI slalom,Control 5 - BI slalom
Control 5 - Bwd push/glide sequence,Control 5 - Bwd push/glide sequence
Control 5 - Bwd spiral,Control 5 - Bwd spiral
Control 5 - Speed Drill #2,Control 5 - Speed Drill #2
Control 6 - Fwd 1-ft side stop,Control 6 - Fwd 1-ft side stop
Control 6 - Fwd 2-ft side stop with speed CW,Control 6 - Fwd 2-ft side stop with speed
Control 6 - Fwd 2-ft side stop with speed CCW,Control 6 - Fwd 2-ft side stop with speed
Control 6 - BO slalom,Control 6 - BO slalom
Control 6 - Bwd crosscuts - figure 8,Control 6 - Bwd crosscuts - figure 8
Control 6 - Bwd perimeter skating with crosscuts CW,Control 6 - Bwd perimeter skating with crosscuts
Control 6 - Bwd perimeter skating with crosscuts CCW,Control 6 - Bwd perimeter skating with crosscuts
Control 6 - Bwd 1-ft slalom,Control 6 - Bwd 1-ft slalom
Control 6 - Bwd 1-ft spin,Control 6 - Bwd 1-ft spin
Control 6 - Speed Drill #3,Control 6 - Speed Drill #3
PreCanSkate - Balance on 2 feet,PreCanSkate - Balance on 2 feet
PreCanSkate - Fall down & get up,PreCanSkate - Fall down & get up
PreCanSkate - Move forward,PreCanSkate - Move forward
PreCanSkate - Move backward,PreCanSkate - Move backward
PreCanSkate - 360° march,PreCanSkate - 360° march
PreCanSkate - Make snow,PreCanSkate - Make snow
PreCanSkate - 2-ft jump,PreCanSkate - 2-ft jump
PreCanSkate - 2-ft twist,PreCanSkate - 2-ft twist
